FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69ee,6151949,POINT (16.34263158200608 48.22081761784545),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69ed,6151950,POINT (16.333421772194264 48.20876634626689),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69ec,6151951,POINT (16.426820221102723 48.17035301933542),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69eb,6151952,POINT (16.433783742482692 48.16811689894576),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69ea,6151953,POINT (16.414882197582813 48.170485600133865),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69e9,6151954,POINT (16.450424610774043 48.25143232854888),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69e8,6151955,POINT (16.3059686125554 48.19834878559671),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69e7,6151956,POINT (16.378043864546765 48.213754222370035),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69e6,6151957,POINT (16.304535690301226 48.229038379287324),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69e5,6151958,POINT (16.370775685060924 48.18220685556151),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69e4,6151959,POINT (16.326089158206262 48.18868582938957),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69e3,6151960,POINT (16.402035396456636 48.1451798454992),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69e2,6151961,POINT (16.382310140573516 48.21510688359693),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69e1,6151962,POINT (16.372150402521978 48.18255195683355),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69e0,6151963,POINT (16.318258748056593 48.231473935804466),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69df,6151964,POINT (16.330916163864828 48.21726277003527),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69de,6151965,POINT (16.450293782514432 48.25130460374543),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69dd,6151966,POINT (16.31213938081714 48.226856162844186),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69dc,6151967,POINT (16.370959934456973 48.18250964884041),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69db,6151968,POINT (16.370968420924058 48.18250908329095),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69da,6151969,POINT (16.370963646063636 48.18251566060977),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69d9,6151970,POINT (16.3160779843884 48.18583703732584),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69d8,6151971,POINT (16.311809917172713 48.21189411143423),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69d7,6151972,POINT (16.414595755024433 48.19098249993823),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69d6,6151973,POINT (16.397241372086885 48.257334661699026),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69d5,6151974,POINT (16.467320233317114 48.19306156330958),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69d4,6151975,POINT (16.361488780735396 48.1763913018926),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69d3,6151976,POINT (16.310033285607815 48.241585373492754),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69d2,6151977,POINT (16.360744226217353 48.20206935561792),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69d1,6151978,POINT (16.4575212105008 48.230688617453644),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69d0,6151979,POINT (16.511028779416574 48.22636645437541),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69cf,6151980,POINT (16.39011125961243 48.210723167716125),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69ce,6151981,POINT (16.378361253463385 48.21128746206979),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69cd,6151982,POINT (16.370739358696902 48.208132916583104),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69cc,6151983,POINT (16.358204448402958 48.2098425201089),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69cb,6151984,POINT (16.371091912629613 48.20521665411953),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69ca,6151985,POINT (16.438271797757206 48.24599512012073),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
