FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7202,6152798,POINT (16.331366840905794 48.22913639894482),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7201,6152799,POINT (16.355859793235286 48.203674416076986),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7200,6152800,POINT (16.314194437687284 48.19898707561019),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71ff,6152801,POINT (16.32705808462293 48.20356732019741),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71fe,6152802,POINT (16.294834696477242 48.176503596858645),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71fd,6152803,POINT (16.222621283368436 48.153240719525684),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71fc,6152804,POINT (16.324149856901673 48.2106635754911),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71fb,6152805,POINT (16.38527085220668 48.21886151965273),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71fa,6152806,POINT (16.38462842720166 48.15078156166787),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f9,6152807,POINT (16.338892090608137 48.25726471310871),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f8,6152808,POINT (16.30281097351268 48.22794450776511),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f7,6152809,POINT (16.33943604212277 48.2358368022553),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f6,6152810,POINT (16.326030443577785 48.20231798965214),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f5,6152811,POINT (16.34693492351552 48.224718801003625),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f4,6152812,POINT (16.339749524661713 48.209549572148276),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f3,6152813,POINT (16.32285458603433 48.21092403412391),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f2,6152814,POINT (16.353129476094736 48.18666611460593),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f1,6152815,POINT (16.34393216104094 48.22333338954065),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f0,6152816,POINT (16.365603882669582 48.18737375467125),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71ef,6152817,POINT (16.340661702624946 48.222497055531306),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71ee,6152818,POINT (16.330721397906828 48.212934189166305),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71ed,6152819,POINT (16.33507651597267 48.191696353814265),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71ec,6152820,POINT (16.374552459156735 48.21589250934413),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71eb,6152821,POINT (16.46609945448754 48.15448590800977),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71ea,6152822,POINT (16.37123078147095 48.1982321283791),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71e9,6152823,POINT (16.374688930361728 48.19193146234289),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71e8,6152824,POINT (16.36509792873552 48.20821269038296),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71e7,6152825,POINT (16.333252680898273 48.21516647177597),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71e6,6152826,POINT (16.366468211248513 48.208083569351885),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71e5,6152827,POINT (16.366130467196932 48.20808215880589),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71e4,6152828,POINT (16.340340300515773 48.19554412155456),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71e3,6152829,POINT (16.334355718724996 48.193726805462916),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71e2,6152830,POINT (16.34056223621703 48.20695179817518),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71e1,6152831,POINT (16.335904341946364 48.20147584130974),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71e0,6152832,POINT (16.361954348913326 48.19132495320781),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71df,6152833,POINT (16.35957951186676 48.22532958602916),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71de,6152834,POINT (16.47299989310339 48.24661594424583),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71dd,6152835,POINT (16.413368279110166 48.17795701532216),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71dc,6152836,POINT (16.326098130590683 48.21164386781843),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71db,6152837,POINT (16.298158487979567 48.229302347118555),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71da,6152838,POINT (16.34041047103524 48.217350557177284),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71d9,6152839,POINT (16.316780249541452 48.19912062453753),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71d8,6152840,POINT (16.34037494195686 48.19270214876318),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71d7,6152841,POINT (16.33278965811447 48.17659179366802),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71d6,6152842,POINT (16.39103211143895 48.19412116021303),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71d5,6152843,POINT (16.38703297100474 48.19650720109881),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71d4,6152844,POINT (16.415572207799656 48.292182677214406),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71d3,6152845,POINT (16.32450266402744 48.2079531015852),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71d2,6152846,POINT (16.397001277895583 48.19085239896027),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71d1,6152847,POINT (16.501103841856715 48.23172226933095),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71d0,6152848,POINT (16.30299823635074 48.19730459955188),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71cf,6152849,POINT (16.502692228757848 48.22814117555423),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71ce,6152850,POINT (16.500725060303466 48.22750382802504),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71cd,6152851,POINT (16.328168340031176 48.1997135775379),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71cc,6152852,POINT (16.311444025475126 48.20271249201458),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71cb,6152853,POINT (16.314730052102266 48.216827216216885),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71ca,6152854,POINT (16.324401784512645 48.20857759761731),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71c9,6152855,POINT (16.391043050521112 48.2178144990258),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71c8,6152856,POINT (16.380692867349648 48.178171507074865),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71c7,6152857,POINT (16.380784824261806 48.14992143481838),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71c6,6152858,POINT (16.314992824962676 48.21413695544227),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71c5,6152859,POINT (16.313566250943133 48.218438415112296),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71c4,6152860,POINT (16.333846929413653 48.212870078619154),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71c3,6152861,POINT (16.310982062811426 48.21207531746253),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71c2,6152862,POINT (16.344548838210148 48.207093961506764),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71c1,6152863,POINT (16.43759645764714 48.24430449255418),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71c0,6152864,POINT (16.44044955453959 48.24701390677792),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71bf,6152865,POINT (16.328007393050424 48.18681966351404),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71be,6152866,POINT (16.487056233286296 48.24169198868779),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71bd,6152867,POINT (16.48603541044003 48.24118842858303),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71bc,6152868,POINT (16.316799083156873 48.21329685953847),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71bb,6152869,POINT (16.37054288380945 48.20577700320548),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71ba,6152870,POINT (16.386831042552785 48.29506707117531),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71b9,6152871,POINT (16.290657560745256 48.16139508070584),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71b8,6152872,POINT (16.352836394032295 48.20474417803731),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71b7,6152873,POINT (16.30562715288874 48.18987225969721),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71b6,6152874,POINT (16.366697211884066 48.22717953583313),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71b5,6152875,POINT (16.38467610064627 48.21451295516077),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71b4,6152876,POINT (16.284167986404412 48.18724431938996),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71b3,6152877,POINT (16.32482140770331 48.20924140037494),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71b2,6152878,POINT (16.31537610672303 48.19790399146566),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71b1,6152879,POINT (16.317748104375255 48.19784001086602),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71b0,6152880,POINT (16.328736810953654 48.2086818370514),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71af,6152881,POINT (16.321153553909514 48.21116371643121),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71ae,6152882,POINT (16.311633498853645 48.21279783349464),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71ad,6152883,POINT (16.318043505992783 48.211655306882086),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71ac,6152884,POINT (16.319754788688517 48.211515371749215),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71ab,6152885,POINT (16.32549472517227 48.19888676522907),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71aa,6152886,POINT (16.367488275929837 48.17763165306736),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71a9,6152887,POINT (16.4088044188336 48.18211986345006),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71a8,6152888,POINT (16.28443214924683 48.16276929896322),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71a7,6152889,POINT (16.47789967992655 48.21904170913275),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71a6,6152890,POINT (16.371791180380406 48.19018128659943),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71a5,6152891,POINT (16.43866002839358 48.24535700021119),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71a4,6152892,POINT (16.438038675943286 48.24478322128967),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71a3,6152893,POINT (16.393171145154767 48.229366610081456),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71a2,6152895,POINT (16.381453272144398 48.24680910515153),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71a1,6152896,POINT (16.494588757052714 48.19425676674585),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71a0,6152897,POINT (16.345877308168404 48.2102544632103),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-719f,6152898,POINT (16.418336250236457 48.296285060248486),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-719e,6152899,POINT (16.375875542957143 48.19030044678059),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-719d,6152900,POINT (16.300414352850613 48.152245116123304),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-719c,6152901,POINT (16.332381394666246 48.19366178991438),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-719b,6152902,POINT (16.36445948839615 48.186558381256035),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-719a,6152903,POINT (16.378010184464237 48.242858298899364),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7199,6152904,POINT (16.307723602215635 48.2192024352975),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7198,6152905,POINT (16.37053714663867 48.20947035169178),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7197,6152906,POINT (16.371538283513736 48.209593155894574),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7196,6152907,POINT (16.315715514326193 48.21247396773184),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7195,6152908,POINT (16.4209209098949 48.26059814361898),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7194,6152909,POINT (16.37274722499471 48.1822108400772),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7193,6152910,POINT (16.34505033741204 48.20169234937733),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7192,6152911,POINT (16.3706644858806 48.20638526477558),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7191,6152912,POINT (16.344396966519806 48.22490961952483),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7190,6152913,POINT (16.439615558867782 48.246183555614216),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-718f,6152914,POINT (16.371229416975247 48.191113492679),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-718e,6152915,POINT (16.40243649874698 48.21543983863561),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-718d,6152916,POINT (16.34385942730799 48.20645689228114),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-718c,6152917,POINT (16.365461133613984 48.211906670137424),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-718b,6152918,POINT (16.341947345080676 48.20668166819346),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-718a,6152919,POINT (16.333531724318135 48.2092995171717),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7189,6152920,POINT (16.330346301849307 48.20987852466826),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7188,6152921,POINT (16.329667599991755 48.20987021924958),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7187,6152922,POINT (16.316296109331212 48.212010796547965),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7186,6152923,POINT (16.2814502527263 48.13239346512604),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7185,6152924,POINT (16.44306632176254 48.249164753860995),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7184,6152925,POINT (16.302472317046313 48.214068013685385),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7183,6152926,POINT (16.390495444518116 48.20860166644777),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7182,6152927,POINT (16.35311902766423 48.208317898489376),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7181,6152928,POINT (16.43762462509684 48.25516749682834),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7180,6152929,POINT (16.31506840050827 48.17549495462033),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-717f,6152930,POINT (16.32314449337904 48.22831744983746),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-717e,6152931,POINT (16.352564242054495 48.18143642486348),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-717d,6152932,POINT (16.37458781093272 48.181229685799536),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-717c,6152933,POINT (16.349413154101942 48.18233670140172),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-717b,6152934,POINT (16.349813967959985 48.20417172876291),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-717a,6152935,POINT (16.3332001971229 48.216445244380324),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7179,6152936,POINT (16.411603706926712 48.221556378620356),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7178,6152937,POINT (16.447762956442705 48.152340132991185),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7177,6152894,POINT (16.347612968648704 48.20496285548339),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7176,6152938,POINT (16.36836771057525 48.17751819807144),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7175,6152939,POINT (16.367053115580177 48.208156752337366),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7174,6152940,POINT (16.386229097395837 48.21587565676316),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7173,6152941,POINT (16.498104368315154 48.216336778120564),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7172,6152942,POINT (16.332768634262322 48.19177057387755),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7171,6152943,POINT (16.386823458817087 48.22279024372029),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7170,6152944,POINT (16.464886992402008 48.15449805280396),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-716f,6152945,POINT (16.491464336953293 48.25919669285022),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-716e,6152946,POINT (16.27024462389152 48.24441509100327),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-716d,6152947,POINT (16.443501523986317 48.198767249864254),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-716c,6152948,POINT (16.39229023662088 48.20043909140112),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-716b,6152949,POINT (16.3679147446807 48.248795534152045),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-716a,6152950,POINT (16.353038588459537 48.23915380448452),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7169,6152951,POINT (16.317221598052498 48.23654022152314),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7168,6152952,POINT (16.387333124492265 48.21454192173774),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7167,6152953,POINT (16.333057102430814 48.19230234086466),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7166,6152954,POINT (16.2818944384401 48.18471054001676),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7165,6152955,POINT (16.326183532260163 48.210508196695336),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7164,6152956,POINT (16.3288507398253 48.210088888162296),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7163,6152957,POINT (16.377228706751378 48.17678197075107),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7162,6152958,POINT (16.231942236489406 48.20271412308168),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7161,6152959,POINT (16.25298048688404 48.198310403925596),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7160,6152960,POINT (16.252715978362808 48.17698419793403),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-715f,6152961,POINT (16.256832237009004 48.1668560843959),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-715e,6152962,POINT (16.222543117932293 48.15336222014685),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-715d,6152963,POINT (16.18414902426429 48.16260836193108),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-715c,6152964,POINT (16.33843250794281 48.167526080114406),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-715b,6152965,POINT (16.338828059170865 48.16549619346353),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-715a,6152966,POINT (16.358348241232456 48.15956859732309),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7159,6152967,POINT (16.3786101906091 48.20721567002453),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7158,6152968,POINT (16.404903178634328 48.21948677568982),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7157,6152969,POINT (16.39137792435043 48.20927017759814),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7156,6152970,POINT (16.363494833642758 48.19112121369806),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7155,6152971,POINT (16.358334681243832 48.200660856071),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7154,6152972,POINT (16.349135153668506 48.19802786497052),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7153,6152973,POINT (16.255434986170854 48.17852794758499),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7152,6152974,POINT (16.267731280555296 48.15083363928359),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7151,6152975,POINT (16.377389711996898 48.217412358400935),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7150,6152976,POINT (16.402111564515327 48.22168984198339),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-714f,6152977,POINT (16.390222525481807 48.203049558567194),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-714e,6152978,POINT (16.39102713553764 48.20249788597124),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-714d,6152979,POINT (16.360429667589248 48.197249276955326),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-714c,6152980,POINT (16.363524305111127 48.19858317569982),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-714b,6152981,POINT (16.36230350163605 48.197895849889136),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-714a,6152982,POINT (16.364830919954276 48.19926820527756),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7149,6152983,POINT (16.332807290498888 48.180285839650594),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7148,6152984,POINT (16.333113745939563 48.18096012971604),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7147,6152985,POINT (16.32652370185239 48.19103156303732),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7146,6152986,POINT (16.369180232947233 48.23125327794865),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7145,6152987,POINT (16.335913607492888 48.210502677858486),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7144,6152988,POINT (16.341632630026552 48.24262749679165),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7143,6152989,POINT (16.344618943772375 48.22568103585982),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7142,6152990,POINT (16.33661018932592 48.2752012044249),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7141,6152991,POINT (16.33426205976575 48.22132469892032),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7140,6152992,POINT (16.36340794404146 48.21287277960804),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-713f,6152993,POINT (16.377654995097203 48.17398138562023),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-713e,6152994,POINT (16.33491497805331 48.21916100555419),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-713d,6152995,POINT (16.374379328042195 48.18440561627956),Trinkbrunnen,4,
